playerID,awardID,yearID,lgID,tie,notes
bochybr01,This Year in Baseball Manager of the Year,2014,ML,,MLB.com GIBBY
hurdlcl01,TSN Manager of the Year,2013,NL,,
aloufe01,TSN Manager of the Year,1994,NL,,
francte01,TSN Manager of the Year,2017,AL,,
coxbo01,TSN Manager of the Year,2005,NL,,
stengca01,TSN Manager of the Year,1949,ML,,
pinielo01,TSN Manager of the Year,2001,AL,,
molitpa01,TSN Manager of the Year,2015,AL,,
ramiral03,Rookie of the Month,2008,AL,,August
davisal01,TSN Rookie Player of the Year,1984,AL,,
ethiean01,Player of the Week,2006,NL,,Week of 2006-07-07
simmoan01,Rookie of the Month,2012,NL,,June
bailean01,Rookie of the Month,2009,AL,,August
benesan01,TSN Rookie Pitcher of the Year,1989,NL,,
rincoan01,Player of the Week,1980,NL,,Week of 1980-09-19
sanchan01,Player of the Week,2006,NL,,Week of 2006-09-09
sanchan01,Rookie of the Month,2006,NL,,September
senzaan01,Rookie of the Month,2017,NL,,April
jacksau01,MLB Players Choice Outstanding Rookie,2010,AL,,
jacksau01,Rookie of the Month,2010,AL,,April
jacksau01,TSN Rookie of the Year,2010,AL,,
kearnau01,Rookie of the Month,2002,NL,,May
meadoau01,Rookie of the Month,2018,NL,,May
rileyau01,Rookie of the Month,2019,NL,,May
zitoba01,Player of the Week,2000,AL,Y,Week of 2000-09-09
sheetbe01,Rookie of the Month,2001,NL,,June
blylebe01,TSN Rookie Pitcher of the Year,1970,AL,,
parsobi01,TSN Rookie Pitcher of the Year,1971,AL,,
virdobi01,TSN Rookie of the Year,1955,NL,,
butlebi03,Rookie of the Month,2007,AL,,July
mccoobi01,TSN Rookie Pitcher of the Year,1964,NL,,
dewitbl01,Rookie of the Month,2008,NL,,May
grimbo01,TSN Rookie of the Year,1954,AL,,
hornebo01,TSN Rookie Player of the Year,1978,NL,,
jonesbo04,Pitcher of the Month,1997,NL,,May
bonsebo01,Rookie of the Month,2006,AL,,September
millebr02,Player of the Week,2013,AL,,Week of 2013-07-21
boescbr01,Rookie of the Month,2010,AL,,May
boescbr01,Rookie of the Month,2010,AL,,June
anderbr04,Rookie of the Month,2009,AL,,September
tollbbr01,Player of the Week,2000,NL,,Week of 2000-06-24
beltrad01,Player of the Week,2015,AL,,Week of 2015-10-04
ramirar01,Player of the Week,2015,NL,,Week of 2015-07-05
bondsba01,Player of the Month,2003,NL,,July
bucknbi01,Player of the Week,1986,AL,,Week of 1986-09-12
coxbo01,TSN Manager of the Year,1985,ML,,
downibr01,Player of the Week,1990,AL,,Week of 1990-08-11
tannech01,TSN Manager of the Year,1972,ML,,
parkeda01,Outstanding DH Award,1990,AL,,
parkeda01,Player of the Week,1990,AL,Y,Week of 1990-08-25
roberda07,TSN Manager of the Year,2016,NL,,
winfida01,TSN Comeback Player of the Year,1990,AL,,
eckerde01,MLB Players Choice Outstanding Player,1992,AL,,
evansdw01,Player of the Week,1989,AL,,Week of 1989-09-22
yountro01,Player of the Week,1992,AL,,Week of 1992-09-12
carewro01,Player of the Week,1985,AL,Y,Week of 1985-08-02
clemero02,Player of the Week,2002,AL,,Week of 2002-05-18
sierrru01,Player of the Week,2004,AL,,Week of 2004-05-01
melesa01,TSN Manager of the Year,1965,ML,,
seaveto01,Player of the Week,1985,AL,Y,Week of 1985-08-02
mccovwi01,Player of the Week,1977,NL,Y,Week of 1977-09-09
mccovwi01,TSN Comeback Player of the Year,1977,NL,,
beltrad01,Player of the Week,2017,AL,Y,Week of 2017-07-29
colonba01,Player of the Week,2016,NL,Y,Week of 2016-05-07
blylebe01,Player of the Week,1989,AL,,Week of 1989-04-14
blylebe01,TSN Comeback Player of the Year,1989,AL,,
virdobi01,TSN Manager of the Year,1974,ML,,
fiskca01,Player of the Week,1988,AL,,Week of 1988-08-19
jonesch06,MLB Players Choice Man of the Year,2012,ML,,
biggicr01,This Year in Baseball Moment of the Year,2007,ML,,MLB.com GIBBY
biggicr01,Player of the Week,2007,NL,,Week of 2007-06-30
murtada01,TSN Manager of the Year,1960,ML,,
winfida01,Outstanding DH Award,1992,AL,,
ortizda01,This Year in Baseball Best Player,2016,ML,,Esurance
jeterde01,This Year in Baseball Moment of the Year,2014,ML,,MLB.com GIBBY
sheffga01,Player of the Week,2007,AL,Y,Week of 2007-06-09
brettge01,Player of the Week,1992,AL,,Week of 1992-10-03
aaronha01,Player of the Week,1973,NL,Y,Week of 1973-09-07
aaronha01,Player of the Week,1973,NL,,Week of 1973-08-17
aaronha01,Player of the Week,1973,NL,,Week of 1973-07-20
thomeji01,Player of the Week,2010,AL,,Week of 2010-07-05
morgajo02,TSN Comeback Player of the Year,1982,NL,,
cashke01,TSN Manager of the Year,2021,AL,,
cabremi01,Player of the Week,2022,AL,Y,Week of 2022-04-23
rolfere01,TSN Manager of the Year,1950,ML,,
clemero02,Player of the Week,2003,AL,,Week of 2003-06-14
alstowa01,TSN Manager of the Year,1955,ML,,
tebbebi01,TSN Manager of the Year,1956,ML,,
bochybr01,TSN Manager of the Year,1998,NL,,
winfida01,Player of the Week,1993,AL,,Week of 1993-05-15
suttodo01,Player of the Week,1986,AL,Y,Week of 1986-06-20
perryga01,Player of the Week,1982,AL,,Week of 1982-05-07
brettge01,Player of the Week,1993,AL,,Week of 1993-09-25
maddugr01,Pitcher of the Month,2006,NL,,April
aaronha01,Player of the Week,1974,NL,,Week of 1974-04-12
thomeji01,Player of the Week,2011,AL,,Week of 2011-08-21
morgajo02,Player of the Week,1983,NL,,Week of 1983-09-23
guilloz01,This Year in Baseball Manager of the Year,2005,ML,,MLB.com GIBBY
guilloz01,TSN Manager of the Year,2005,AL,,
molitpa01,MLB Players Choice Man of the Year,1998,ML,,
henderi01,TSN Comeback Player of the Year,1999,NL,,
clemero02,Pitcher of the Month,2004,NL,,April
staubru01,Player of the Week,1983,NL,,Week of 1983-06-17
larusto01,TSN Manager of the Year,1983,ML,,
mccovwi01,Player of the Week,1979,NL,,Week of 1979-06-15
kalinal01,Player of the Month,1974,AL,,September
pujolal01,Player of the Week,2022,NL,Y,Week of 2022-09-24
pujolal01,Player of the Week,2022,NL,Y,Week of 2022-08-20
hargrmi01,TSN Manager of the Year,1995,AL,,
niekrph01,Player of the Week,1985,AL,,Week of 1985-10-04
melvibo01,TSN Manager of the Year,2007,NL,,
counscr01,TSN Manager of the Year,2017,NL,,
lanieha01,TSN Manager of the Year,1986,NL,,
sciosmi01,TSN Manager of the Year,2002,AL,,
perezto01,Player of the Week,1986,NL,,Week of 1986-10-03
marshmi01,Player of the Week,1990,NL,,Week of 1990-06-16
coxbo01,TSN Manager of the Year,1991,NL,,
counscr01,TSN Manager of the Year,2018,NL,Y,
johnsda01,TSN Manager of the Year,1975,ML,,
kaplega01,TSN Manager of the Year,2021,NL,,
oatesjo01,TSN Manager of the Year,1993,AL,,
sewellu01,TSN Manager of the Year,1944,ML,,
smithma01,TSN Manager of the Year,1968,ML,,
bluegos01,TSN Manager of the Year,1945,ML,,
gardero01,TSN Manager of the Year,2004,AL,Y,
francte01,This Year in Baseball Manager of the Year,2004,ML,,MLB.com GIBBY
penato01,TSN Manager of the Year,2003,AL,,
alstowa01,TSN Manager of the Year,1959,ML,,
mattido01,TSN Manager of the Year,2020,NL,,
torrejo01,TSN Manager of the Year,1998,AL,,
manuech01,This Year in Baseball Manager of the Year,2008,ML,,MLB.com GIBBY
bradlph01,MLB Players Curt Flood Award,2023,ML,,
stengca01,TSN Manager of the Year,1953,ML,,
brettge01,Bob Feller Act of Valor Award - HOF Player,2015,ML,,
dawsoan01,MLB Players Curt Flood Award,2020,ML,,
stengca01,TSN Manager of the Year,1958,ML,,
johnsda02,TSN Manager of the Year,2012,NL,,
torrejo01,This Year in Baseball Manager of the Year,2007,ML,,MLB.com GIBBY
carewro01,Bob Feller Act of Valor Award - HOF Player,2016,ML,,
rogerst01,MLB Players Curt Flood Award,2022,ML,,
seaveto01,Bob Feller Act of Valor Award - HOF Player,2017,ML,,
greinza01,All-MLB Team - Second Team,2019,ML,,SP
rosepe01,Player of the Month,1979,NL,,September
rosepe01,Player of the Week,1979,NL,,Week of 1979-09-14
rosepe01,Player of the Week,1979,NL,,Week of 1979-08-03
wainwad01,Pitcher of the Month,2021,NL,,August
rodrial01,Player of the Month,2010,AL,,September
bondsba01,Player of the Month,2002,NL,,August
bondsba01,Player of the Week,2002,NL,,Week of 2002-08-30
bondsba01,Player of the Week,2002,NL,,Week of 2002-05-18
bondsba01,Player of the Week,2002,NL,,Week of 2002-04-06
bondsba01,MLB Players Choice Outstanding Player,2002,NL,,
colonba01,Pitcher of the Month,2013,AL,,June
rignebi01,TSN Manager of the Year,1962,ML,,
yastrca01,Player of the Week,1977,AL,,Week of 1977-06-18
beltrca01,Player of the Week,2014,AL,,Week of 2014-04-13
fiskca01,Player of the Week,1985,AL,,Week of 1985-05-31
evansda01,Player of the Week,1985,AL,,Week of 1985-09-20
evansda01,Player of the Week,1985,AL,,Week of 1985-05-17
parkeda01,Outstanding DH Award,1989,AL,,
ortizda01,This Year in Baseball Postseason MVP,2013,ML,,MLB.com GIBBY
ortizda01,Outstanding DH Award,2013,AL,,
martide01,Pitcher of the Month,1992,NL,,August
jeterde01,This Year in Baseball Performance of the Year,2011,ML,,MLB.com GIBBY
jeterde01,Player of the Week,2011,AL,,Week of 2011-07-10
willidi02,TSN Manager of the Year,1967,ML,,
baylodo01,Outstanding DH Award,1986,AL,,
alexado01,Pitcher of the Month,1987,AL,,September
evansdw01,Player of the Week,1988,AL,,Week of 1988-09-09
martied01,Player of the Month,2003,AL,,May
daviser01,MLB Players Choice Man of the Year,2000,ML,,
wedgeer01,TSN Manager of the Year,2007,AL,,
thomafr04,Player of the Week,2006,AL,,Week of 2006-09-09
thomafr04,MLB Players Choice Comeback Player,2006,AL,,
sheffga01,Player of the Week,2004,AL,,Week of 2004-06-05
perryga01,Pitcher of the Month,1978,NL,,September
perryga01,Player of the Week,1978,NL,,Week of 1978-09-23
kaatji01,Player of the Week,1975,AL,,Week of 1975-05-09
torrejo01,Player of the Week,1976,NL,,Week of 1976-08-06
smoltjo01,Player of the Week,2004,NL,Y,Week of 2004-07-31
sheffga01,Player of the Week,2005,AL,Y,Week of 2005-07-16
perryga01,Player of the Week,1979,NL,Y,Week of 1979-07-27
brettge01,Player of the Month,1990,AL,,July
brettge01,Player of the Week,1990,AL,,Week of 1990-07-21
fostege01,Player of the Week,1986,NL,,Week of 1986-06-06
palmeji01,Pitcher of the Month,1982,AL,,August
palmeji01,Player of the Week,1982,AL,,Week of 1982-09-03
girarjo01,TSN Manager of the Year,2006,NL,,
smoltjo01,Player of the Week,2005,NL,Y,Week of 2005-06-25
cruzjo01,Player of the Week,1987,NL,,Week of 1987-04-10
verlaju01,All-MLB Team - First Team,2022,ML,,SP
verlaju01,MLB Players Choice Outstanding Pitcher,2022,AL,,
verlaju01,MLB Players Choice Comeback Player,2022,AL,,
verlaju01,TSN Comeback Player of the Year,2022,AL,,
griffke01,Player of the Week,1990,AL,,Week of 1990-09-08
cashke01,TSN Manager of the Year,2019,AL,,
motama01,Player of the Week,1979,NL,,Week of 1979-09-01
ryanno01,Player of the Week,1983,NL,,Week of 1983-04-29
reuscri01,Pitcher of the Month,1989,NL,,May
clemero02,Pitcher of the Month,2001,AL,,June
clemero02,MLB Players Choice Outstanding Pitcher,2001,AL,,
johnto01,Player of the Week,1980,AL,,Week of 1980-05-09
boggswa01,Player of the Week,1999,AL,Y,Week of 1999-08-07
brownke01,Pitcher of the Month,2004,AL,,April
rosepe01,Player of the Week,1981,NL,,Week of 1981-08-14
dawsoan01,Player of the Week,1994,AL,Y,Week of 1994-04-09
bondsba01,Player of the Month,2004,NL,,August
bondsba01,Player of the Month,2004,NL,,April
bondsba01,Player of the Week,2004,NL,,Week of 2004-08-21
bondsba01,Player of the Week,2004,NL,,Week of 2004-04-17
bondsba01,MLB Players Choice Player of the Year,2004,ML,,
bondsba01,MLB Players Choice Outstanding Player,2004,NL,,
colonba01,Player of the Week,2015,NL,,Week of 2015-09-06
bochybr01,TSN Manager of the Year,1996,NL,,
yastrca01,Player of the Week,1979,AL,,Week of 1979-09-14
davisch01,Player of the Week,1999,AL,,Week of 1999-04-10
darwida01,Player of the Week,1996,NL,,Week of 1996-06-08
winfida01,Player of the Week,1991,AL,Y,Week of 1991-10-05
winfida01,Player of the Week,1991,AL,,Week of 1991-06-01
winfida01,Player of the Week,1991,AL,,Week of 1991-04-13
ortizda01,Player of the Week,2015,AL,,Week of 2015-09-13
evansdw01,Player of the Week,1990,AL,,Week of 1990-04-14
murraed02,Player of the Week,1995,AL,,Week of 1995-07-01
hutchfr01,TSN Manager of the Year,1957,ML,,
bauerha01,TSN Manager of the Year,1966,ML,,
thomeji01,Player of the Week,2009,AL,,Week of 2009-07-18
mesajo01,Reliever of the Month,2005,ML,,April
verlaju01,Player of the Week,2023,AL,,Week of 2023-09-30
griffke02,Player of the Week,2007,NL,,Week of 2007-05-12
cashke01,TSN Manager of the Year,2020,AL,,
brocklo01,Player of the Month,1979,NL,,May
brocklo01,Player of the Week,1979,NL,,Week of 1979-08-17
brocklo01,Player of the Week,1979,NL,,Week of 1979-05-04
brocklo01,TSN Comeback Player of the Year,1979,NL,,
riverma01,MLB Players Choice Comeback Player,2013,AL,,
riverma01,MLB Players Choice Man of the Year,2013,ML,,
riverma01,TSN Comeback Player of the Year,2013,AL,,
